#######

# ROC AUC for some all stats:

AUCs for newBEST_qe_qms9:     Avg: 0.927660, W: 0.931081, Z: 0.905043, Higgs: 0.941011, Top: 0.943347, Bottom: 0.919389, QCD: 0.926088
AUCs for newBEST_q3_ns:       Avg: 0.927165, W: 0.930675, Z: 0.904502, Higgs: 0.940190, Top: 0.942518, Bottom: 0.919627, QCD: 0.925479

AUCs for newBEST_q0_10k_qms9: Avg: 0.926154, W: 0.930273, Z: 0.903545, Higgs: 0.939077, Top: 0.941122, Bottom: 0.918750, QCD: 0.924154
AUCs   newBEST_qpxy_10k_qms9: Avg: 0.927159, W: 0.930647, Z: 0.903819, Higgs: 0.939817, Top: 0.942539, Bottom: 0.920022, QCD: 0.926107
AUCs for newBEST_qe_10k_qms9: Avg: 0.926693, W: 0.930647, Z: 0.904512, Higgs: 0.939847, Top: 0.942245, Bottom: 0.918745, QCD: 0.924161
AUCs for newBEST_q3_10k_ns:   Avg: 0.927340, W: 0.930746, Z: 0.904130, Higgs: 0.939966, Top: 0.942532, Bottom: 0.920535, QCD: 0.926129

AUCs    newBEST_q0_100k_qms9: Avg: 0.927557, W: 0.930540, Z: 0.904189, Higgs: 0.940379, Top: 0.942545, Bottom: 0.921028, QCD: 0.926660
AUCs  newBEST_qpxy_100k_qms9: Avg: 0.927144, W: 0.930588, Z: 0.904252, Higgs: 0.940092, Top: 0.942380, Bottom: 0.919976, QCD: 0.925572
AUCs    newBEST_qe_100k_qms9: Avg: 0.927195, W: 0.930904, Z: 0.904627, Higgs: 0.940134, Top: 0.942410, Bottom: 0.919597, QCD: 0.925500
AUCs for newBEST_q3_100k_ns:  Avg: 0.926521, W: 0.930683, Z: 0.903721, Higgs: 0.939116, Top: 0.941666, Bottom: 0.918751, QCD: 0.925188

AUCs    newBEST_q0_350k_qms9: Avg: 0.927174, W: 0.930834, Z: 0.904464, Higgs: 0.939674, Top: 0.942749, Bottom: 0.919925, QCD: 0.925396
AUCs  newBEST_qpxy_350k_qms9: Avg: 0.927516, W: 0.930978, Z: 0.904595, Higgs: 0.940110, Top: 0.942749, Bottom: 0.920529, QCD: 0.926136
AUCs    newBEST_qe_350k_qms9: Avg: 0.927335, W: 0.930895, Z: 0.904652, Higgs: 0.940130, Top: 0.942442, Bottom: 0.920067, QCD: 0.925824
AUCs for newBEST_q3_350k_ns:  Avg: 0.927292, W: 0.930818, Z: 0.904287, Higgs: 0.940319, Top: 0.942602, Bottom: 0.920083, QCD: 0.925639

#######

AUCs  allnewBEST_q3_350k_sA: Avg: 0.935012, W: 0.937127, Z: 0.912702, Higgs: 0.947886, Top: 0.950439, Bottom: 0.928822, QCD: 0.933096
AUCs  allnewBEST_qm_350k_ns: Avg: 0.934967, W: 0.936859, Z: 0.912825, Higgs: 0.947594, Top: 0.950500, Bottom: 0.929125, QCD: 0.932897
